Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Women's Apparel,103,218,22454,12570,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Apparel,103,163,16789,8060,Online
Sports Direct,1197831,8/25/2021,South,Alabama,Birmingham,Men's Street Footwear,10,700,7000,31500,Outlet
Sports Direct,1197831,8/27/2021,South,Alabama,Birmingham,Women's Street Footwear,15,575,8625,38810,Outlet
Sports Direct,1197831,8/21/2021,South,Alabama,Birmingham,Women's Street Footwear,15,475,7125,32060,Outlet
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,475,7125,24940,In-store
Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,Men's Athletic Footwear,20,450,9000,31500,Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Street Footwear,15,450,6750,27000,Online
West Gear,1185732,4/3/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20,450,9000,27000,In-store
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,44,434,19096,9930,Outlet
Foot Locker,1185732,1/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,20,425,8500,29750,In-store
West Gear,1185732,2/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,425,6375,22310,In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,425,8500,29750,In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Street Footwear,20,425,8500,34000,Online
Foot Locker,1185732,3/16/2021,South,Mississippi,Jackson,Women's Street Footwear,15,425,6375,25500,Online
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Street Footwear,20,425,8500,34000,Online
Walmart,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Apparel,20,425,8500,34000,Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20,425,8500,29750,Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,48,420,20160,11290,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,39,408,15912,8750,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,46,403,18538,10380,Outlet
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,400,8000,28000,In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,400,8000,32000,In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,28000,In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,28000,In-store
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,400,8000,32000,Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Women's Street Footwear,15,400,6000,24000,Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,47,400,18800,9780,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,40,390,15600,8110,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,33,388,12804,6660,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,34,384,13056,6790,Outlet
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,31,376,11656,5590,Outlet
Sports Direct,1197831,8/22/2021,South,Alabama,Birmingham,Women's Athletic Footwear,20,375,7500,41250,Outlet
Foot Locker,1185732,2/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,20,375,7500,26250,In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,30000,In-store
